id;created;phone_number;email;note;status
1;2023-12-04T05:55:19;retain pish big-hearted;Ian_Harvey68@hotmail.com;geez;NEW
2;2023-12-03T19:13:40;sticker;Hadley.Konopelski@gmail.com;unrealistic;NEW
3;2023-12-03T12:22:09;uh-huh within;Norris_Harber95@hotmail.com;clipboard rubbish;NEW
4;2023-12-03T14:53:20;advantage rich times;Augustine79@hotmail.com;immerse;NEW
5;2023-12-03T22:06:21;unrealistic ruffle;Kennith_Dicki@gmail.com;killer recklessly;NEW
6;2023-12-03T19:45:32;within phew;Rebekah.Morar@gmail.com;for mailman before;NEW
7;2023-12-04T10:06:32;lowball carefree;Willy_Stark70@yahoo.com;gondola furthermore;NEW
8;2023-12-04T01:19:57;but snowflake what;Max.Hudson56@yahoo.com;enthusiastically mind;NEW
9;2023-12-04T07:18:20;geez;Aletha_Stehr52@gmail.com;underexpose;NEW
10;2023-12-03T18:43:12;police uh-huh enter;Cedrick.Beahan-Jenkins@gmail.com;promptly;NEW
